objective_value_seconds,solver_status,solver_message,result_type,order,conveyor,tote,tote_sequence_pos,order_start_slot,order_start_seconds,order_completion_slot,order_completion_seconds,order_sequence_pos,start_slot,end_slot,units,slot,pick_time_seconds,item_type,unit,recirc_loops,release_time_seconds
895.0,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),summary,,,,,,,,,,,,,,,,,,
,,,order_to_conveyor,1.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,2.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,3.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,4.0,1.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,5.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,6.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,7.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,8.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,9.0,1.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,10.0,0.0,,,,,,,,,,,,,,,,
,,,order_to_conveyor,11.0,0.0,,,,,,,,,,,,,,,,
,,,tote_sequence,,,7.0,1.0,,,,,,,,,,,,,,
,,,tote_sequence,,,11.0,2.0,,,,,,,,,,,,,,
,,,tote_sequence,,,12.0,3.0,,,,,,,,,,,,,,
,,,tote_sequence,,,10.0,4.0,,,,,,,,,,,,,,
,,,tote_sequence,,,1.0,5.0,,,,,,,,,,,,,,
,,,tote_sequence,,,9.0,6.0,,,,,,,,,,,,,,
,,,tote_sequence,,,8.0,7.0,,,,,,,,,,,,,,
,,,tote_sequence,,,3.0,8.0,,,,,,,,,,,,,,
,,,tote_sequence,,,13.0,9.0,,,,,,,,,,,,,,
,,,tote_sequence,,,14.0,10.0,,,,,,,,,,,,,,
,,,tote_sequence,,,4.0,11.0,,,,,,,,,,,,,,
,,,tote_sequence,,,0.0,12.0,,,,,,,,,,,,,,
,,,order_timing,1.0,,,,32.0,160.0,36.0,180.0,11.0,,,,,,,,,
,,,order_timing,2.0,,,,27.0,135.0,31.0,155.0,10.0,,,,,,,,,
,,,order_timing,3.0,,,,1.0,5.0,2.0,10.0,1.0,,,,,,,,,
,,,order_timing,4.0,,,,6.0,65.0,14.0,75.0,6.0,,,,,,,,,
,,,order_timing,5.0,,,,3.0,15.0,4.0,20.0,2.0,,,,,,,,,
,,,order_timing,6.0,,,,7.0,35.0,8.0,40.0,4.0,,,,,,,,,
,,,order_timing,7.0,,,,21.0,105.0,23.0,115.0,8.0,,,,,,,,,
,,,order_timing,8.0,,,,15.0,75.0,17.0,85.0,7.0,,,,,,,,,
,,,order_timing,9.0,,,,18.0,115.0,26.0,135.0,9.0,,,,,,,,,
,,,order_timing,10.0,,,,9.0,45.0,11.0,55.0,5.0,,,,,,,,,
,,,order_timing,11.0,,,,5.0,25.0,5.0,25.0,3.0,,,,,,,,,
,,,tote_block,,,7.0,,,,,,,1.0,2.0,2.0,,,,,,
,,,tote_block,,,11.0,,,,,,,3.0,3.0,1.0,,,,,,
,,,tote_block,,,12.0,,,,,,,4.0,4.0,1.0,,,,,,
,,,tote_block,,,10.0,,,,,,,5.0,6.0,2.0,,,,,,
,,,tote_block,,,1.0,,,,,,,7.0,11.0,5.0,,,,,,
,,,tote_block,,,9.0,,,,,,,12.0,14.0,3.0,,,,,,
,,,tote_block,,,8.0,,,,,,,15.0,20.0,6.0,,,,,,
,,,tote_block,,,3.0,,,,,,,21.0,21.0,1.0,,,,,,
,,,tote_block,,,13.0,,,,,,,22.0,26.0,5.0,,,,,,
,,,tote_block,,,14.0,,,,,,,27.0,28.0,2.0,,,,,,
,,,tote_block,,,4.0,,,,,,,29.0,31.0,3.0,,,,,,
,,,tote_block,,,0.0,,,,,,,32.0,36.0,5.0,,,,,,
